Solute SMILES,LogS
CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccc(F)cc5)n([C@H]5CCCN(C(=O)CO)C5)c4n3)cc2)CC1,7.387216143
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,9.537602002
COc1cc2c(Nc3ccc(NC(=O)[C@H](c4ccccc4)N4Cc5ccccc5C4=O)cc3F)ncnc2cc1OCC1CCN(C)CC1,8.102372909
CC(C)(O)Cn1/c(=N/C(=O)c2ccnc(-c3cccnc3)c2)[nH]c2ccccc21,6.452225295
C=CC(NC1=CC=CC(C2=C(C3=CC=C(N4CCN(C)CC4)C=C3)NC(N=CN5C6CCCC6)=C2C5=O)=C1)=O,6.603800653
FC1=CC(NC2=NCC3C(N([C@H]4CC[C@@H](NC(CC)=O)CC4)C(N(C5=C(Cl)C=CC=C5)C3)=O)=N2)=CC=C1N6CCN(C)CC6,7.958607315
C=CC(NC1=CC=CC(C2=C(C3=CC=C(N4CCN(C)CC4)C=C3)NC(N=CN5CCCC)=C2C5=O)=C1)=O,6.095284455
COc1cc2c(Nc3ccc(NC(=O)[C@@H](c4ccccc4)N4Cc5ccccc5C4=O)cc3F)ncnc2cc1OCC1CCN(C)CC1,7.716698771
CCC(NC1=CC=CC(C2=C(C3=CC=C(N4CCN(C)CC4)C=C3)NC(N=CN5C)=C2C5=O)=C1)=O,6.946921557
Cn1cc(-c2cc(C(=O)/N=c3\[nH]c4ccccc4n3CC(C)(C)O)ccn2)cn1,6.284832642
O=C(OC1=CC=C(C2=NC3=CC=CC=C3C(C4=CC=CC=C4)=C2)C=C1)C5=CC=CC(C(F)(F)F)=C5,6.924453039
COc1cc2c(Nc3cc(NC(=O)C(c4ccccc4)N4Cc5ccccc5C4=O)ccc3F)ncnc2cc1OCC1CCN(C)CC1,7.43062609
COc1cc2c(Nc3ccc(NC(=O)C(c4cc(F)ccc4F)N4Cc5ccccc5C4=O)cc3F)ncnc2cc1OCC1CCN(C)CC1,8.657577319
C#CCNC(=O)c1cc(Nc2cc(C3CC3)[nH]n2)nc(N2CCN(Cc3ccc(S(=O)(=O)F)cc3)CC2)n1,6.612610174
CC1=CC(NC2=NCC3C(N([C@H]4CC[C@@H](NC(C5CCCC5)=O)CC4)C(N(C6=C(Cl)C=CC=C6)C3)=O)=N2)=CC=C1N7CCN(C)CC7,7.801342913
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,6.366531544
CN(C)C1CCN(c2ccc(Nc3cc4c(N5CCOCC5)nc(Nc5ccc(F)cc5F)nc4cn3)nc2)CC1,7.27083521
CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccc(F)cc5)n([C@H]5CCN(C(=O)OC(C)(C)C)C5)c4n3)cc2)CC1,6.913640169
COc1cc2c(Nc3ccc(NC(=O)C(c4ccccc4)N4Cc5ccccc5C4=O)cc3F)ncnc2cc1OCC1CCN(C)CC1,8.031517051
CNC(=O)CN1CC[C@H](n2c(Nc3ccc(F)cc3)nc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc32)C1,6.251037139
O=C(C(N1Cc2c(C1=O)cccc2)c3ccccc3)Nc4cc(F)c(Nc5c6cc(OCCOC)c(OCCOC)cc6ncn5)cc4,7.675717545
CN1CCN(c2ccc(Nc3cc4c(N5CCOCC5)nc(Nc5ccccc5)nc4cn3)nc2)CC1,7.250263684
