SMILES,pIC50,mol,num_atoms,logP
CC(N)=S,0.51,<rdkit.Chem.rdchem.Mol object at 0x7f59a296e490>,4,0.2924
c1cncc(C2CCCCN2)c1,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a299d700>,12,1.8962
Cc1ccc(NC=O)cc1,0.03,<rdkit.Chem.rdchem.Mol object at 0x7f59a29d46d0>,10,1.5633199999999998
CN1CCN(c2cccc(Nc3nc4c(Nc5ccccc5S(C)(=O)=O)cccn4n3)c2)CC1,7.54,<rdkit.Chem.rdchem.Mol object at 0x7f59a29510e0>,34,3.371800000000002
CC(O)(c1ccc(Nc2nn(C3CCC(O)CC3C#N)cc2C(N)=O)cc1)C(F)(F)F,8.7,<rdkit.Chem.rdchem.Mol object at 0x7f59a29614d0>,31,2.72108
Clc1cc2c(c(Cl)c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a3276490>,21,8.158399999999999
CC(=O)C=Cc1cccc(C(F)(F)F)c1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a32ae1f0>,15,3.3076000000000016
O=[N+]([O-])c1ccc2c(c1)c([N+](=O)[O-])cc[n+]2[O-],0.05,<rdkit.Chem.rdchem.Mol object at 0x7f59a29c1230>,17,1.2895999999999996
COC(=O)c1cc2cccc3ccc4cccc1c4c32,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a3137760>,20,4.370600000000002
Cc1ccc(-c2cc(C(N)=O)c3[nH]c4cc(N5CCC(F)(F)C5)ccc4c3n2)cn1,8.22,<rdkit.Chem.rdchem.Mol object at 0x7f59a295cac0>,30,4.030820000000002
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a2969930>,29,2.1284
NNC(=O)Nc1ccc([N+](=O)[O-])cc1,0.26,<rdkit.Chem.rdchem.Mol object at 0x7f59a324a8f0>,14,0.5900000000000003
COC1C(O)C(C)OC(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)CCC43O)C2)C1O,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a299bf40>,38,3.110200000000001
O=C(O)c1ccccc1Oc1ccccc1,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a29cb220>,16,3.177100000000001
CCOC(=O)c1c[nH]c2ncnc(-c3ccccc3)c12,7.04,<rdkit.Chem.rdchem.Mol object at 0x7f59a2946570>,20,2.801600000000001
CC(=O)Nc1ncc2ncn(COCCOC(C)=O)c2n1,0.48,<rdkit.Chem.rdchem.Mol object at 0x7f59a32d9bd0>,21,0.3218999999999998
O=C(O)CNC(=O)c1ccccc1,0.32,<rdkit.Chem.rdchem.Mol object at 0x7f59a299d8c0>,13,0.5009999999999994
CCCOC(=O)n1c(-c2cscn2)nc2ccccc21,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a32ea8f0>,20,3.5545000000000018
Cc1cccc(Cl)c1NC1=NCCN1,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a29dbd10>,14,2.0195199999999995
CCC1COC(Cn2cncn2)(c2ccc(-n3cncn3)cc2Cl)O1,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a3117530>,25,2.1906
CCOC(=O)CCCn1nnc2ccccc21,0.02,<rdkit.Chem.rdchem.Mol object at 0x7f59a329fae0>,17,1.7746
O=NN(CCF)C(=O)NC1CCC(NC(=O)N(CCF)N=O)CC1,0.02,<rdkit.Chem.rdchem.Mol object at 0x7f59a3229690>,24,1.6226
N#CCCCCC#N,0.03,<rdkit.Chem.rdchem.Mol object at 0x7f59a2988900>,8,1.59396
COC1C(OC(C)=O)CC(=O)OC(C)CC=CC=CC(O)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(OC(=O)CC(C)C)C(C)O2)C(N(C)C)C1O,0.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a328dbd0>,58,3.0134000000000056
CSc1ccc(C(=O)O)cc1,0.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a321eea0>,11,2.1067
NNC(=O)c1cccc(O)c1,,<rdkit.Chem.rdchem.Mol object at 0x7f59a3241f50>,11,-0.0043000000000002
