Solute SMILES,LogS
C1C=Cc2ncc3c4[se]c(cc4c4=C[SiH2]C=c4c3c12)-c1cccnc1,5.993001
[nH]1c(cc2c3nsnc3c3c4ccccc4oc3c12)-c1ccco1,2.855376
[nH]1c2cc(-c3nccc4nsnc34)c3nsnc3c2c2ncc3cccnc3c12,7.611321
[nH]1c2ccc3c[nH]cc3c2c2ccc3cc(ncc3c12)-c1scc2sccc12,1.47125
c1cc2ccc3c(ccc4cc(-c5cccc6cocc56)c5c[nH]cc5c34)c2[se]1,1.606775
[nH]1c2cc(-c3scc4cc[nH]c34)c3cocc3c2c2ncc3ccc4cscc4c3c12,2.582925
C1C=c2c3cc([se]c3c3[se]c4C=C[SiH2]c4c3c2=C1)-c1scc2cc[se]c12,3.32866
[nH]1ccc2c1c1ccc3cc(ccc3c1c1=C[SiH2]C=c21)-c1scc2C=C[SiH2]c12,3.854159
c1ccc(C2=Cc3ccc4ccc5cocc5c4c3C2)c2cscc12,2.957395
c1sc(-c2sc(c3[SiH2]ccc23)-c2ccc(-c3ncncn3)c3cscc23)c2cc[se]c12,6.192928
c1cc2cc3c4cocc4c4cc(ncc4c3cc2o1)-c1ccccn1,1.195497
C1C=CC=C1c1cc2ccc3c4sccc4c4nsnc4c3c2c2cocc12,4.425546
c1sc(-c2ccc([se]2)-c2sc(-c3scc4sccc34)c3ccCc23)c2Cccc12,2.834251
c1sc(-c2cnc(s2)-c2ccc(nc2)-c2cccc3ccccc23)c2[se]ccc12,3.578967
c1cc2[se]c3c4sc(cc4sc3c2o1)-c1cccc2=C[SiH2]C=c12,6.616444
c1ccc([se]1)-c1cc2c([se]1)c1c3ccccc3c3cc[se]c3c1c1ccccc21,3.215682
c1Cc(cc1)-c1sc(-c2sc(-c3scc4cc[nH]c34)c3nccnc23)c2cc[nH]c12,-3.393915
[nH]1c(cc2ncc3c(ccc4ccc5=C[SiH2]C=c5c34)c12)-c1ccco1,5.481072
c1sc(-c2ccc([se]2)-c2ccc(-c3scc4cc[nH]c34)c3nsnc23)c2[nH]ccc12,3.564383
c1cc2ccc3cc(sc3c2c2ccccc12)-c1cncc2nsnc12,10.088576
[nH]1ccc2c3cocc3c3c4[se]c(cc4c4=C[SiH2]C=c4c3c12)-c1nccs1,6.082944
c1sc(C2=Cc3c([SiH2]2)c2sc4ccncc4c2c2cscc32)c2[SiH2]C=Cc12,6.267377
[nH]1ccc2Cc3c([se]c4cc(-c5scc6cc[nH]c56)c5ccccc5c34)-c12,0.788804
c1cc2cc3c4c[nH]cc4c4cc(oc4c3cc2s1)-c1scc2[nH]ccc12,0.18547
c1cc2sc3cc4cc(ncc4cc3c2o1)-c1scc2nccnc12,5.389672
c1cnc(s1)-c1sc(-c2ncc(s2)-c2cccc3c[SiH2]cc23)c2sccc12,8.079768
c1ccc(o1)-c1cc2cc3[se]ccc3cc2c2ccccc12,1.473108
c1cc2sc(cc2c2nsnc12)-c1ccc2ccc3nsnc3c2c1,4.613653
[nH]1c2cc3C=C([SiH2]c3cc2c2ccccc12)c1scc2sccc12,2.875643
[nH]1c(cc2[se]c3c4ccccc4sc3c12)C1=CC=CC1,1.288303
[nH]1c(ccc1-c1ccc(-c2cccc3ccccc23)c2cocc12)-c1scc2occc12,2.125256
c1sc(-c2cnc(-c3ccc(s3)-c3ncncn3)c3nsnc23)c2ccsc12,0
c1ccc([se]1)-c1ccc(nc1)-c1sc(-c2cccc3nsnc23)c2ccoc12,7.528807
c1ccc2c(c1)sc1c3sc(cc3c3=CCC=c3c21)-c1cccc2=CCC=c12,3.61815
c1ncc(s1)C1=Cc2c(C1)c1c3cocc3c3ccc4=CCC=c4c3c1c1cocc21,3.732689
c1sc(-c2cc3cc4cnc5cccnc5c4cc3c3c[nH]cc23)c2nccnc12,6.029392
c1ccc([se]1)-c1sc(-c2sc(c3[SiH2]ccc23)-c2scc3cc[se]c23)c2ccsc12,3.556053
c1sc(c2C=CCc12)-c1cc2oc3c(ccc4ccc5cscc5c34)c2c2cscc12,2.880181
C1C=CC2=C1C=C([SiH2]2)c1cc2[se]ccc2c2cscc12,3.218881
c1cc2c3cocc3c3c(ncc4cc(cnc34)-c3scc4C=C[SiH2]c34)c2s1,3.988765
c1ccc(-c2cc3[se]c4c(oc5ccc6nsnc6c45)c3c3nsnc23)c2c[nH]cc12,6.660782
c1ccc(cc1)-c1cc2ccc3c4ccccc4[se]c3c2c2ccccc12,0.994362
c1ncc(s1)-c1sc(c2Cccc12)-c1sc(-c2scc3occc23)c2sccc12,3.847154
[nH]1c(ccc1-c1cccc2cocc12)-c1sc(-c2scc3nccnc23)c2occc12,4.061739
[nH]1ccc2[nH]c3cc(sc3c12)-c1cccc2cocc12,0.873278
[nH]1ccc2[se]c3c4[SiH2]C(=Cc4cnc3c12)c1cccc2ccccc12,2.43585
[SiH2]1C=Cc2cnc3c4ccc(cc4c4c[nH]cc4c3c12)-c1nccc2nsnc12,8.471511
[SiH2]1C=Cc2ccc3c4sc(cc4c4cocc4c3c12)-c1ccco1,2.59183
c1sc(-c2[SiH2]c(cc2)-c2ccc(cc2)-c2cccnc2)c2[se]ccc12,4.864578
c1cnc(s1)-c1ccc2c(c1)c1nsnc1c1c2ncc2ccc3ccccc3c12,3.776849
c1sc(-c2ccc(-c3ccc(-c4cccnc4)c4cocc34)c3c[nH]cc23)c2ccsc12,2.359717
c1ncc(s1)-c1sc(-c2sc(-c3scc4ccoc34)c3ccCc23)c2cc[nH]c12,2.036532
[nH]1cccc1-c1cc2c3cscc3c3c(sc4ccc5c[nH]cc5c34)c2[nH]1,0.224569
c1sc(c2Cccc12)-c1sc(-c2ccc(nc2)-c2cccc3cCcc23)c2cc[nH]c12,2.417582
C1C=Cc2sc3c(c12)c1c[nH]cc1c1cc(-c2cccc4cocc24)c2cocc2c31,1.326059
[nH]1c(cc2ncc3c(c4c[nH]cc4c4ccc5cscc5c34)c12)-c1cccc2=C[SiH2]C=c12,6.220388
C1C=Cc2c1c1c3ccccc3c3C=C(Cc3c1c1nsnc21)c1scc2ccsc12,4.621581
[nH]1cccc1-c1cc2[se]c3c(c4cscc4c4ccc5cscc5c34)c2c2cscc12,3.189997
[nH]1c-2c(Cc3cc(oc-23)-c2scc3C=C[SiH2]c23)c2ncccc12,1.829089
[nH]1c(cc2[nH]c3c(c12)c1=CCC=c1c1ccc2cscc2c31)-c1ccccn1,0.34234
[nH]1c2cc[se]c2c2[se]c3cc(-c4cccc5=C[SiH2]C=c45)c4c[nH]cc4c3c12,2.962267
c1sc(-c2[SiH2]c(cc2)-c2ncc(-c3ccccn3)c3nsnc23)c2nccnc12,0
[nH]1c2cc(ncc2c2c3c[nH]cc3c3ccccc3c12)C1=CC=C[SiH2]1,1.923824
c1ccc(C2=Cc3[se]c4c(c3[SiH2]2)c2=CCC=c2c2ccc3cscc3c42)c2cscc12,3.862853
c1ccc(s1)-c1ccc(-c2scc3[SiH2]ccc23)c2c[nH]cc12,1.57813
c1[SiH2]c(cc1)-c1cnc(s1)-c1sc(-c2[SiH2]ccc2)c2cc[nH]c12,4.773269
[nH]1cccc1-c1cc2ccc3c4CC=Cc4c4cocc4c3c2[se]1,1.666881
[nH]1c2ccc3cscc3c2c2ccc3cc(sc3c12)-c1cccs1,1.68286
c1sc(-c2cc3c4c[nH]cc4c4c5ncccc5sc4c3s2)c2ccoc12,2.404104
c1cc2c3nsnc3c3c(oc4cc(-c5cccnc5)c5=C[SiH2]C=c5c34)c2o1,6.431124
c1ccc(o1)-c1cc2c3cocc3c3c4ncccc4c4=CCC=c4c3c2c2=C[SiH2]C=c12,5.387006
[nH]1c2cc(sc2c2oc3ccc4c[nH]cc4c3c12)-c1scc2[nH]ccc12,-0.941615
c1ncc(s1)-c1cc2c([se]1)c1c3cocc3c3ccc4nsnc4c3c1c1=CCC=c21,6.456968
c1sc(-c2ccc(s2)-c2ccc(-c3scc4cc[nH]c34)c3cscc23)c2sccc12,2.704409
c1ccc([se]1)-c1cc2cnc3c([se]c4ccc5nsnc5c34)c2c2cocc12,5.661122
c1ccc(-c2ccc3cc4c(cc3c2)oc2ccc3nsnc3c42)c2cocc12,6.451284
c1ncc(s1)C1=Cc2c(C1)c1c3cocc3c3ccc4c[nH]cc4c3c1c1ccccc21,2.638342
[nH]1c2cc(ccc2c2cc3c4c[nH]cc4ccc3cc12)-c1scc2cc[nH]c12,0.81732
[nH]1c(ccc1-c1ccc(-c2cccc3nsnc23)c2c[SiH2]cc12)-c1scc2Cccc12,5.66681
c1[SiH2]c(cc1)-c1ccc(-c2sc(c3[SiH2]ccc23)-c2cccc3c[nH]cc23)c2nsnc12,7.120207
[nH]1cccc1-c1cc2c3cocc3c3c4ccccc4sc3c2c2=C[SiH2]C=c12,6.199304
[nH]1c2C3=C([SiH2]c2c2ncccc12)C=C(C3)c1cncs1,4.086045
[nH]1c2ccc3c[nH]cc3c2c2sc3cc([se]c3c12)-c1cccc2cscc12,0.979402
c1sc(C2=Cc3cnc4c(ncc5ccc6cocc6c45)c3C2)c2[nH]ccc12,3.102888
c1ccc(cn1)-c1cc2cc3sc4ccncc4c3cc2c2ccccc12,1.33666
c1[SiH2]c2c(-c1)ncc-1c2-[o]c2ccc3cocc3c-12,2.630913
C1C=CC=C1c1cc2c3nsnc3c3c4ccccc4c4ccccc4c3c2cn1,5.42644
[nH]1c2C=C[SiH2]c2c2c1cc(-c1scc3[nH]ccc13)c1ccccc21,0.890499
[nH]1ccc2c1c1cc3c4cscc4c(cc3cc1c1=CCC=c21)C1=CC=CC1,1.816482
c1ccc(o1)-c1sc(-c2ccc(-c3cccc4cCcc34)c3nsnc23)c2ccoc12,5.788004
c1cc2c3cscc3c3c4oc(cc4sc3c2[se]1)-c1cccc2=CCC=c12,3.457582
[nH]1cccc1-c1ccc(nc1)-c1sc(-c2scc3cc[se]c23)c2[se]ccc12,2.685826
c1cc2ccc3c(cnc4cc(ncc34)-c3cccc4ccccc34)c2o1,1.891298
c1sc(-c2cnc(s2)-c2sc(-c3cccc4cCcc34)c3sccc23)c2cc[SiH2]c12,5.180065
c1ccc(s1)-c1Cc(cc1)-c1ccc(-c2cccc3cocc23)c2nsnc12,6.458512
c1ccc(cn1)-c1sc(-c2Cc(cc2)-c2cccc3nsnc23)c2sccc12,6.379564
[nH]1c2cc(-c3ccccc3)c3c[nH]cc3c2c2sc3ccc4ccccc4c3c12,0.820186
C1C=c2c(cc3cnc4cc5ccc6cscc6c5cc4c3c2=C1)C1=CC=CC1,5.119575
C1C=c2ccc3c4nsnc4c(cc3c2=C1)-c1cc2[SiH2]C=Cc2s1,7.55222
[nH]1c(cc2cnc3c4[SiH2]C=Cc4ncc3c12)-c1scc2cc[nH]c12,2.044916
c1cc2[SiH2]c3c(ccc4ccc5nsnc5c34)-c2c2c[SiH2]cc12,8.1886
[SiH2]1C=c2c3C=C[SiH2]c3c3c4ccccc4c4cc([se]c4c3c2=C1)-c1scc2sccc12,7.585218
c1Cc(cc1)-c1ccc(cn1)-c1sc(-c2cccc3nsnc23)c2sccc12,6.908695
c1ccc(-c2ccc([se]2)-c2sc(-c3cncc4nsnc34)c3[se]ccc23)c2c[SiH2]cc12,9.958264
[nH]1c(cc2c3nsnc3c3c4[SiH2]C=Cc4oc3c12)-c1cccc2cocc12,3.025144
c1cc2cnc3c(sc4cc(-c5scc6sccc56)c5nsnc5c34)c2s1,6.871611
c1cc2c3cscc3c3c(ccc4cc(cnc34)-c3ncncn3)c2[se]1,4.917418
c1ccc(-c2cc3ncc4c(sc5ccc6ccccc6c45)c3[se]2)c2nsnc12,7.557627
c1cc2c3nsnc3c3cc4cc([se]c4cc3c2c2cocc12)-c1cccc2=C[SiH2]C=c12,7.850344
c1ccc(cc1)-c1Cc(cc1)-c1sc(-c2nccc3nsnc23)c2[se]ccc12,8.065207
c1ccc(cc1)-c1cc2oc3c(c2c2nsnc12)c1=CCC=c1c1ccncc31,5.669883
c1sc(c2[SiH2]C=Cc12)-c1cc2oc3ccc4nsnc4c3c2c2c[nH]cc12,4.546155
C1C=CC=C1c1cc2[se]c3c4CC=Cc4[se]c3c2o1,1.30447
C1C=Cc2c1c1c3nsnc3c3cc(oc3c1c1cocc21)-c1cccc2ccccc12,4.833795
[nH]1c(cc2[nH]c3c(ccc4ccc5ccccc5c34)c12)-c1ccc[se]1,1.115151
[nH]1c(cc2sc3c4[SiH2]C=Cc4c4=CCC=c4c3c12)-c1scc2cc[se]c12,2.154799
c1cc2c(o1)c1sc3cc(-c4scc5[se]ccc45)c4cocc4c3c1c1=CCC=c21,2.776018
[nH]1ccc2cc3c4c[nH]cc4c4cc(-c5nccc6nsnc56)c5ccccc5c4c3cc12,6.332568
c1cc2c3c[nH]cc3c3c(cnc4ccc5cocc5c34)c2c2cCcc12,2.363219
c1sc(c2Cccc12)-c1sc(-c2ccc(s2)-c2cccc3c[SiH2]cc23)c2cc[nH]c12,3.38959
c1cc2cc3c4nsnc4c4cc(-c5scc6[se]ccc56)c5c[nH]cc5c4c3cc2s1,3.515658
c1sc(c2[SiH2]C=Cc12)-c1cc2c(cn1)c1c3cscc3ccc1c1=C[SiH2]C=c21,6.812174
c1cc2c3cscc3c3c4CC(=Cc4cnc3c2c2cscc12)c1ncncn1,5.802503
c1sc(-c2cc3cc4c(cc3[se]2)c2c3cocc3ccc2c2=C[SiH2]C=c42)c2cc[nH]c12,3.745698
[nH]1ccc2c3cocc3c3c4CC(=Cc4cnc3c12)c1scc2[nH]ccc12,1.406336
c1sc(-c2cc3oc4c(c5nsnc5c5ccc6nsnc6c45)c3c3=C[SiH2]C=c23)c2ccoc12,9.931151
C1C=Cc2c1c1cc3ncc(cc3cc1c1nsnc21)-c1cccc2c[nH]cc12,3.850676
c1ccc(s1)-c1ncc(-c2ccc(cn2)-c2scc3cc[SiH2]c23)c2nsnc12,9.001264
c1cc2[se]c3c4sc(cc4sc3c2s1)-c1nccc2nsnc12,10.084785
c1sc(-c2cnc3c(c2)sc2c3cnc3ccc4=C[SiH2]C=c4c23)c2[se]ccc12,6.398812
[nH]1c2cc(-c3scc4C=CCc34)c3cocc3c2c2cc3c(ccc4=C[SiH2]C=c34)cc12,3.263993
c1ccc(o1)-c1ccc(cc1)-c1cnc(-c2scc3ccoc23)c2nsnc12,8.386454
c1cc2sc3c4[SiH2]C(=Cc4c4=CCC=c4c3c2s1)c1scc2C=CCc12,3.807949
c1sc(C2=Cc3c([SiH2]2)c2c4nsnc4ccc2c2cscc32)c2cc[se]c12,6.850764
[nH]1c2cc(-c3cccc4nsnc34)c3cscc3c2c2c3nsnc3c3ccncc3c12,6.416263
[nH]1c2ccc3cocc3c2c2cc3c(cc(-c4ccccc4)c4=CCC=c34)cc12,1.650086
c1cc2oc3c(ccc4cc(cnc34)-c3cccc4=C[SiH2]C=c34)c2c2cocc12,6.344392
c1Cc(cc1)-c1sc(-c2ccc(-c3scc4[SiH2]ccc34)c3c[SiH2]cc23)c2ccsc12,6.196858
c1cc2ncc3c4c5cscc5c(cc4c4=C[SiH2]C=c4c3c2[se]1)-c1scc2cc[se]c12,7.171302
C1C=Cc2c1c1ncc3cc(-c4cccc5ccccc45)c4nsnc4c3c1c1c[nH]cc21,4.534189
[nH]1ccc2c1cc(-c1cnc3C=CCc3c1)c1cscc21,1.007453
[nH]1c2ccc3c[nH]cc3c2c2ncc3cc(cnc3c12)-c1scc2cc[se]c12,1.863956
c1ccc(nc1)-c1ccc([se]1)-c1nccc2nsnc12,8.811353
